subset,n,trunc_pos,s_bar_con,s_bar_num,s_bar_div,s_bar_rep
Pile-CC,5000,head,0.05370233207941055,1.0,0.0005819671750068665,0.0
Wikipedia (en),5000,head,0.04988463968038559,0.9986,0.0005979521870613098,0.0013999999999999568
ArXiv,2657,head,0.06639651954174042,0.9992472713586752,0.0005581622123718261,0.0007527286413248069
Github,5000,head,0.05248381942510605,0.9862,0.00064215087890625,0.013800000000000034
PubMed Central,5000,head,0.04309523478150368,0.999,0.0005734671950340272,0.0010000000000000009
FreeLaw,5000,head,0.11392199993133545,0.9952,0.0005559705495834351,0.0048000000000000265
StackExchange,5000,head,0.11645244061946869,1.0,0.0005900382995605469,0.0
USPTO Backgrounds,5000,head,0.053943272680044174,0.999,0.0005679153203964234,0.0010000000000000009
