subset,n,trunc_pos,s_bar_con,s_bar_num,s_bar_div,s_bar_rep
Pile-CC,5000,head,0.035008929669857025,1.0,0.002411397695541382,0.0
Wikipedia (en),5000,head,0.023917801678180695,0.9986,0.004190328598022461,0.0013999999999999568
ArXiv,2657,head,0.09630709141492844,0.9992472713586752,0.0012028399705886841,0.0007527286413248069
Github,5000,head,0.06502629816532135,0.9862,0.0018513129949569703,0.013800000000000034
PubMed Central,5000,head,0.09165952354669571,0.999,0.0013681769371032715,0.0010000000000000009
FreeLaw,5000,head,0.1019606962800026,0.9952,0.0011664603948593139,0.0048000000000000265
StackExchange,5000,head,0.10249123722314835,1.0,0.0015958778858184814,0.0
USPTO Backgrounds,5000,head,0.0676107108592987,0.999,0.0015120381116867066,0.0010000000000000009
