subset,n,trunc_pos,s_bar_con,s_bar_num,s_bar_div,s_bar_rep
Pile-CC,5000,head,0.06387266516685486,1.0,0.0010174353122711182,0.0
Wikipedia (en),5000,head,0.05158277601003647,0.9986,0.00120977783203125,0.0013999999999999568
ArXiv,2657,head,0.07893777638673782,0.9992472713586752,0.0008679308891296387,0.0007527286413248069
Github,5000,head,0.10272064059972763,0.9862,0.0014724379777908325,0.013800000000000034
PubMed Central,5000,head,0.05612106993794441,0.999,0.0009611050486564636,0.0010000000000000009
FreeLaw,5000,head,0.15958401560783386,0.9952,0.0008476904034614563,0.0048000000000000265
StackExchange,5000,head,0.09002462029457092,1.0,0.0011033700704574584,0.0
USPTO Backgrounds,5000,head,0.04853251203894615,0.999,0.0008810832500457764,0.0010000000000000009
