subset,n,trunc_pos,s_bar_con,s_bar_num,s_bar_div,s_bar_rep
Pile-CC,5000,head,0.030795758590102196,1.0,0.0009598945379257202,0.0
Wikipedia (en),5000,head,0.034277647733688354,0.9986,0.0011784157752990723,0.0013999999999999568
ArXiv,2657,head,0.06111882999539375,0.9992472713586752,0.0007858301401138305,0.0007527286413248069
Github,5000,head,0.029458660632371902,0.9862,0.0012522672414779664,0.013800000000000034
PubMed Central,5000,head,0.04923221468925476,0.999,0.0008784000277519226,0.0010000000000000009
FreeLaw,5000,head,0.10449130833148956,0.9952,0.001017902374267578,0.0048000000000000265
StackExchange,5000,head,0.06809990108013153,1.0,0.000976794719696045,0.0
USPTO Backgrounds,5000,head,0.06545545905828476,0.999,0.0008934429287910462,0.0010000000000000009
