raw,centered,zstd,abtt,whitened,model,domain,n,d
0.019521130248904228,0.019521130248904228,0.018743792548775673,0.015102776698768139,-0.01824402402973073,minilm,Pile-CC,5000,384
0.028311092406511307,0.028311092406511307,0.027118142694234848,0.020153213292360306,-0.01889187677116531,minilm,Wikipedia (en),5000,384
0.04490690678358078,0.04490690678358078,0.0413019023835659,0.025468619540333748,-0.0007014645552658332,minilm,ArXiv,2657,384
0.04449647292494774,0.04449646919965744,0.04047349467873573,0.028065424412488937,-0.04805892802550211,minilm,Github,5000,384
0.04647485539317131,0.04647485911846161,0.044094350188970566,0.023572366684675217,-0.02661136552892308,minilm,PubMed Central,5000,384
0.0194169282913208,0.0194169282913208,0.018713701516389847,0.021034834906458855,1.562872243718827e-06,minilm,FreeLaw,5000,384
0.018138565123081207,0.018138565123081207,0.017462005838751793,0.01290164329111576,-0.01681521432752933,minilm,StackExchange,5000,384
0.03518889099359512,0.03518889099359512,0.03393404558300972,0.02455751597881317,-0.008695443267308551,minilm,USPTO Backgrounds,5000,384
0.020916234701871872,0.020916234701871872,0.018764853477478027,0.01843123883008957,-0.002544771158003794,bge_small,Pile-CC,5000,384
0.03050275892019272,0.03050275892019272,0.02855714038014412,0.02632538415491581,0.0006690531755232353,bge_small,Wikipedia (en),5000,384
0.0738157257437706,0.0738157257437706,0.06537424027919769,0.04333994537591934,-0.0011374188494360142,bge_small,ArXiv,2657,384
0.026741961017251015,0.026741961017251015,0.024662524461746216,0.023475278168916702,-0.0052569728650688746,bge_small,Github,5000,384
0.04934525862336159,0.04934525862336159,0.03820350766181946,0.042134057730436325,-0.006617791492249275,bge_small,PubMed Central,5000,384
0.02188909612596035,0.02188909612596035,0.020856564864516258,0.018628353253006935,-0.00423412339346038,bge_small,FreeLaw,5000,384
0.02144584432244301,0.02144584432244301,0.01902998797595501,0.015927834436297417,-0.016545780219492195,bge_small,StackExchange,5000,384
0.0329732820391655,0.0329732820391655,0.03131025284528732,0.02593683823943138,-0.004459346285020043,bge_small,USPTO Backgrounds,5000,384
0.016110846772789955,0.016110846772789955,0.013632295653223991,0.015661288052797318,-0.000881153911477584,bge_large,Pile-CC,5000,1024
0.02261962555348873,0.02261962555348873,0.02139396406710148,0.017792480066418648,-0.0021518562069486025,bge_large,Wikipedia (en),5000,1024
0.06583500653505325,0.06583499908447266,0.06019062176346779,0.03379802778363228,-0.00045950921651926083,bge_large,ArXiv,2657,1024
0.022615399211645126,0.022615399211645126,0.019286492839455605,0.018904196098446846,-0.01939545600857931,bge_large,Github,5000,1024
0.044108714908361435,0.044108711183071136,0.04205763712525368,0.03829998895525932,-0.020344094602471777,bge_large,PubMed Central,5000,1024
0.02050490491092205,0.02050490491092205,0.018604934215545654,0.014241830445826054,-0.04954513658633702,bge_large,FreeLaw,5000,1024
0.017490293830633163,0.01749257743358612,0.018755916506052017,0.010941648855805397,-0.004119394033976291,bge_large,StackExchange,5000,1024
0.019359542056918144,0.019359542056918144,0.01810532808303833,0.02154361642897129,-0.05175026801855476,bge_large,USPTO Backgrounds,5000,1024
0.035008929669857025,0.035008929669857025,0.03423618897795677,0.028781430795788765,-0.0027765080017052367,bert_base,Pile-CC,5000,768
0.023917801678180695,0.023917803540825844,0.02445419691503048,0.015957338735461235,-0.03644319690169791,bert_base,Wikipedia (en),5000,768
0.09630709141492844,0.09630709141492844,0.08722225576639175,0.06966050714254379,-0.001774710600424536,bert_base,ArXiv,2657,768
0.06502629816532135,0.06502629816532135,0.059011511504650116,0.0642983540892601,0.005780015703571825,bert_base,Github,5000,768
0.09165952354669571,0.09165952354669571,0.0826326310634613,0.06223803758621216,-0.0030742121804051086,bert_base,PubMed Central,5000,768
0.1019606962800026,0.1019606962800026,0.0908786728978157,0.05842874199151993,0.00927261425224614,bert_base,FreeLaw,5000,768
0.10249123722314835,0.10249123722314835,0.0906929224729538,0.05449799820780754,0.004947157163960365,bert_base,StackExchange,5000,768
0.0676107108592987,0.0676107108592987,0.06225656718015671,0.04876144230365753,-0.000219993043973063,bert_base,USPTO Backgrounds,5000,768
0.030795758590102196,0.030795758590102196,0.02795535884797573,0.026064075529575348,0.0004131473923637917,legal_bert,Pile-CC,5000,768
0.034277647733688354,0.034277647733688354,0.03166506439447403,0.04381570965051651,-0.0053717421434351965,legal_bert,Wikipedia (en),5000,768
0.06111882999539375,0.06111882999539375,0.051132287830114365,0.02588834799826145,-7.17841037813656e-05,legal_bert,ArXiv,2657,768
0.029458660632371902,0.029458660632371902,0.02418338507413864,0.05593185871839523,0.003011584664171564,legal_bert,Github,5000,768
0.04923221468925476,0.04923221468925476,0.044972438365221024,0.05555402860045433,-0.002473491884993114,legal_bert,PubMed Central,5000,768
0.10449130833148956,0.10449130833148956,0.09303160756826401,0.07419607043266296,0.0004985524112030759,legal_bert,FreeLaw,5000,768
0.06809990108013153,0.06809990108013153,0.05240994319319725,0.037857647985219955,-0.0016974034986530647,legal_bert,StackExchange,5000,768
0.06545545905828476,0.06545545905828476,0.06063557043671608,0.043351832777261734,-0.003715237074253199,legal_bert,USPTO Backgrounds,5000,768
0.06387266516685486,0.06387266516685486,0.04810477793216705,0.04095818102359772,-0.00786634870280705,biobert,Pile-CC,5000,768
0.05158277601003647,0.05158277601003647,0.04827139154076576,0.04293171688914299,0.0013228865448055346,biobert,Wikipedia (en),5000,768
0.07893777638673782,0.07893777638673782,0.0719112679362297,0.06259173154830933,-0.00013308950825624758,biobert,ArXiv,2657,768
0.10272064059972763,0.10272064059972763,0.0771719217300415,0.0621497817337513,0.021965559930598514,biobert,Github,5000,768
0.05612106993794441,0.05612106993794441,0.04576626420021057,0.022224009037017822,9.89779462404082e-05,biobert,PubMed Central,5000,768
0.15958401560783386,0.15958401560783386,0.09356989711523056,0.09392927587032318,0.0019786634368083506,biobert,FreeLaw,5000,768
0.09002462029457092,0.09002462029457092,0.0911632776260376,0.06731677800416946,0.0038830865282359055,biobert,StackExchange,5000,768
0.04853251203894615,0.04853251203894615,0.04412299022078514,0.04348139092326164,-0.0011032721326036353,biobert,USPTO Backgrounds,5000,768
0.05370233207941055,0.05370233207941055,0.041131261736154556,0.04519570991396904,-0.0014776601782168363,pubmedbert,Pile-CC,5000,768
0.04988463968038559,0.04988464340567589,0.04593220353126526,0.04690978303551674,-0.0037188610025651785,pubmedbert,Wikipedia (en),5000,768
