treatment,W,chi2,p
raw,0.2662779397473275,13.047619047619047,0.07095662680571091
centered,0.2662779397473275,13.047619047619047,0.07095662680571091
zstd,0.2857142857142857,14.0,0.0511813534130654
abtt,0.31486880466472306,15.42857142857143,0.03088176996238967
whitened,0.22837706511175898,11.19047619047619,0.13052364670887018
