subset,n,trunc_pos,s_bar_con,s_bar_num,s_bar_div,s_bar_rep
Pile-CC,5000,head,0.019521130248904228,1.0,0.08796937561035156,0.0
Wikipedia (en),5000,head,0.028311092406511307,0.9986,0.08289833068847656,0.0013999999999999568
ArXiv,2657,head,0.04490690678358078,0.9992472713586752,0.05506009674072266,0.0007527286413248069
Github,5000,head,0.04449647292494774,0.9862,0.05767885589599609,0.013800000000000034
PubMed Central,5000,head,0.04647485539317131,0.999,0.060674423217773436,0.0010000000000000009
FreeLaw,5000,head,0.0194169282913208,0.9952,0.01729011344909668,0.0048000000000000265
StackExchange,5000,head,0.018138565123081207,1.0,0.0921771011352539,0.0
USPTO Backgrounds,5000,head,0.03518889099359512,0.999,0.056331443786621097,0.0010000000000000009
