subset,n,trunc_pos,s_bar_con,s_bar_num,s_bar_div,s_bar_rep
Pile-CC,5000,head,0.016110846772789955,1.0,0.027002805709838866,0.0
Wikipedia (en),5000,head,0.02261962555348873,0.9986,0.030346193313598634,0.0013999999999999568
ArXiv,2657,head,0.06583500653505325,0.9992472713586752,0.006876070976257324,0.0007527286413248069
Github,5000,head,0.022615399211645126,0.9862,0.009156866073608399,0.013800000000000034
PubMed Central,5000,head,0.044108714908361435,0.999,0.009302629470825195,0.0010000000000000009
FreeLaw,5000,head,0.02050490491092205,0.9952,0.008137616157531738,0.0048000000000000265
StackExchange,5000,head,0.017490293830633163,1.0,0.019898441314697264,0.0
USPTO Backgrounds,5000,head,0.019359542056918144,0.999,0.012413856506347656,0.0010000000000000009
