subset,n,trunc_pos,s_bar_con,s_bar_num,s_bar_div,s_bar_rep
Pile-CC,5000,head,0.020916234701871872,1.0,0.01619109916687012,0.0
Wikipedia (en),5000,head,0.03050275892019272,0.9986,0.02176405143737793,0.0013999999999999568
ArXiv,2657,head,0.0738157257437706,0.9992472713586752,0.0062215557098388675,0.0007527286413248069
Github,5000,head,0.026741961017251015,0.9862,0.007036299705505371,0.013800000000000034
PubMed Central,5000,head,0.04934525862336159,0.999,0.007756592750549317,0.0010000000000000009
FreeLaw,5000,head,0.02188909612596035,0.9952,0.006355359554290772,0.0048000000000000265
StackExchange,5000,head,0.02144584432244301,1.0,0.011732380867004394,0.0
USPTO Backgrounds,5000,head,0.0329732820391655,0.999,0.010162158012390137,0.0010000000000000009
